iter,wd,ratio_L,median,ch207,ch221,ch468
14000,0.1,74.028,0.7773,46.5986,39.7375,22.1855
14100,0.1,70.556,0.7658,43.9491,38.6584,21.2076
14200,0.1,70.663,0.7802,44.4835,39.0712,21.9589
14300,0.1,74.621,0.7738,45.6710,37.9749,21.4452
14400,0.1,76.305,0.7795,47.1729,40.0691,22.6250
14500,0.1,73.785,0.7744,45.3653,38.7206,20.9742
14600,0.1,71.785,0.7744,44.4475,38.4774,20.9852
14700,0.1,75.022,0.7704,46.0923,38.9651,21.4993
14800,0.1,75.871,0.7653,45.3639,39.0516,21.2729
14900,0.1,76.337,0.7624,46.2450,38.3224,20.7425
15000,0.1,74.779,0.7773,45.4055,38.6682,21.0260
15100,0.1,74.707,0.7753,44.7943,38.1892,20.7440
15200,0.1,74.892,0.7609,44.1331,37.9044,20.8769
15300,0.1,75.574,0.7887,45.8081,38.6277,21.0446
15400,0.1,74.254,0.7614,45.0427,37.2452,19.7812
15500,0.1,75.978,0.7424,44.8455,37.9901,20.3799
15600,0.1,77.061,0.7767,45.9838,38.5479,20.9716
15700,0.1,74.658,0.7645,44.9973,38.0266,20.4198
15800,0.1,74.683,0.7537,44.3295,37.5849,19.3791
15900,0.1,74.815,0.7472,44.4882,37.8178,19.5502
16000,0.1,74.408,0.7614,43.7460,37.6592,19.3440
16100,0.1,75.671,0.7595,44.8669,38.4545,19.6458
16200,0.1,75.974,0.7435,44.5105,36.9602,19.2840
16300,0.1,77.442,0.7751,44.8380,36.9700,19.1040
16400,0.1,75.932,0.7671,44.3787,37.8207,19.3099
16500,0.1,76.576,0.7454,44.1963,37.1806,19.1799
16600,0.1,77.537,0.7605,44.8300,37.7036,19.5224
16700,0.1,78.405,0.7698,45.2464,38.3226,20.0710
16800,0.1,75.027,0.7327,43.6157,36.4976,18.9318
16900,0.1,77.385,0.7496,44.2022,37.0096,19.5953
17000,0.1,78.424,0.7883,44.1602,37.0341,18.7427
17100,0.1,75.880,0.7411,43.6628,36.9983,18.7573
17200,0.1,76.472,0.7398,44.3732,37.0329,18.9745
17300,0.1,77.566,0.7432,44.3956,36.9423,19.1338
17400,0.1,75.952,0.7326,43.3815,36.0639,17.6669
17500,0.1,73.698,0.7244,43.1270,36.1348,18.3137
17600,0.1,76.362,0.7344,43.8484,36.7991,18.7209
17700,0.1,77.426,0.7288,43.4926,36.2043,18.5452
17800,0.1,77.973,0.7433,44.0772,37.0473,18.9056
17900,0.1,77.614,0.7212,43.6329,36.2642,18.0807
18000,0.1,76.014,0.7137,42.4095,35.1171,17.3977
18100,0.1,77.053,0.7211,43.0019,35.8250,17.2493
18200,0.1,76.913,0.7297,43.3265,36.1128,18.0858
18300,0.1,77.854,0.7247,43.5383,36.6845,18.3448
18400,0.1,79.035,0.7371,44.5311,37.0339,18.3832
18500,0.1,76.569,0.6941,42.1361,34.8305,16.7662
18600,0.1,79.246,0.7111,42.8783,35.5979,17.3748
18700,0.1,77.133,0.7023,42.6823,35.4979,17.0539
18800,0.1,74.186,0.7070,41.3717,34.9138,16.6859
18900,0.1,74.633,0.7001,41.6083,34.1543,16.5096
19000,0.1,77.098,0.7003,41.8211,34.8495,17.2672
19100,0.1,75.292,0.6986,41.3567,35.1783,17.1184
19200,0.1,77.805,0.7207,42.4473,35.0296,17.0724
19300,0.1,79.312,0.6920,43.1315,34.7887,16.9867
19400,0.1,78.365,0.7008,42.2539,35.0071,16.4934
19500,0.1,78.023,0.7026,42.0732,35.0569,16.2615
19600,0.1,77.608,0.7179,41.3436,34.1715,16.2361
19700,0.1,75.619,0.6911,40.7050,34.5964,16.1412
19800,0.1,77.955,0.6636,42.1809,35.0179,16.6014
19900,0.1,76.768,0.6932,41.2146,33.5737,16.0775
20000,0.1,76.535,0.6876,41.3408,33.8881,15.9218
20100,0.1,79.206,0.7179,41.5631,34.5336,16.1555
20200,0.1,76.976,0.6781,40.3993,32.6929,15.2113
20300,0.1,80.248,0.6953,41.7443,34.3206,15.8181
20400,0.1,77.432,0.6993,41.4071,33.7648,15.7707
20500,0.1,76.417,0.6763,40.6662,33.3663,15.2326
20600,0.1,77.446,0.6917,40.8580,33.5989,15.4074
20700,0.1,75.622,0.6671,39.8685,32.6696,15.3260
20800,0.1,75.360,0.6800,39.6555,33.2798,15.1958
20900,0.1,77.211,0.6690,40.1041,33.4609,14.8840
21000,0.1,75.490,0.6619,39.9453,33.1743,15.4043
21100,0.1,77.427,0.6895,40.1217,33.2834,15.2458
21200,0.1,78.351,0.6672,40.0558,32.3577,15.1442
21300,0.1,77.900,0.6720,39.4146,33.2810,15.2707
21400,0.1,79.192,0.6650,40.6377,33.5727,14.8949
21500,0.1,78.486,0.6550,39.8536,32.9342,14.7403
21600,0.1,77.963,0.6610,39.5622,32.7262,14.9347
21700,0.1,76.149,0.6550,39.0972,31.9930,14.3312
21800,0.1,76.547,0.6445,38.6596,32.2027,14.0777
21900,0.1,75.816,0.6342,39.0104,32.4098,14.4452
22000,0.1,75.385,0.6278,38.3385,31.9593,14.1993
22100,0.1,76.201,0.6470,38.3962,31.7522,13.7276
22200,0.1,75.524,0.6431,38.4351,31.7207,14.2280
22300,0.1,74.936,0.6317,37.9107,31.0904,13.8900
22400,0.1,76.528,0.6354,38.5254,31.1865,13.8817
22500,0.1,76.434,0.6223,38.1615,30.8841,13.3865
22600,0.1,78.310,0.6405,38.4566,31.7088,13.5531
