iter,wd,ratio_L,median,ch207,ch221,ch468
14000,0.0,74.028,0.7773,46.5986,39.7375,22.1855
14100,0.0,70.334,0.7696,44.1567,38.8340,21.1807
14200,0.0,71.193,0.7914,45.3368,39.9012,22.3393
14300,0.0,75.523,0.7802,47.0450,39.3198,21.9725
14400,0.0,77.461,0.8036,49.0353,42.0001,23.7170
14500,0.0,75.754,0.8011,47.7447,40.9474,22.2050
14600,0.0,74.553,0.7997,47.4555,40.9886,22.2188
14700,0.0,78.253,0.8088,49.5858,41.9744,23.1715
14800,0.0,77.771,0.7959,48.6935,42.0104,22.7217
14900,0.0,78.740,0.8043,50.1914,41.7003,22.4552
15000,0.0,78.126,0.8303,50.1354,42.8652,23.1644
15100,0.0,77.926,0.8238,49.8798,42.1598,22.7679
15200,0.0,78.089,0.8109,49.3706,42.1372,23.0080
15300,0.0,80.102,0.8521,51.9108,43.6819,23.4924
15400,0.0,78.699,0.8199,51.4490,42.4816,22.4674
15500,0.0,80.529,0.8089,51.5375,43.5046,23.1519
15600,0.0,81.360,0.8449,53.3392,44.4406,23.9704
15700,0.0,80.393,0.8325,52.9296,44.4604,23.7211
15800,0.0,80.243,0.8135,52.6322,44.1207,22.4457
15900,0.0,79.993,0.8203,52.9966,44.7255,22.8297
16000,0.0,79.790,0.8290,52.5580,44.9910,22.9828
16100,0.0,81.403,0.8409,53.9435,45.9545,23.1701
16200,0.0,82.778,0.8227,54.0235,44.7842,22.9771
16300,0.0,82.143,0.8533,54.1775,44.8611,22.6418
16400,0.0,82.472,0.8484,54.5941,46.3997,23.2338
16500,0.0,83.655,0.8367,55.0018,45.4765,23.3414
16600,0.0,83.682,0.8613,55.6351,46.8557,23.6149
16700,0.0,85.323,0.8580,56.8386,47.7334,24.4180
16800,0.0,82.782,0.8416,55.9590,46.4859,23.5989
16900,0.0,85.693,0.8575,56.7254,47.2286,24.5112
17000,0.0,86.255,0.8808,56.4584,46.9641,23.6268
17100,0.0,84.904,0.8568,56.4329,47.1669,23.6832
17200,0.0,85.497,0.8492,58.1230,48.1057,24.2291
17300,0.0,86.788,0.8627,58.3330,47.4753,24.1668
17400,0.0,85.879,0.8558,57.3634,47.2970,22.5391
17500,0.0,84.368,0.8473,57.4469,47.7146,23.8604
17600,0.0,85.855,0.8525,58.2551,48.2533,24.1245
17700,0.0,87.216,0.8370,57.9077,48.0188,24.1908
17800,0.0,87.433,0.8698,59.0826,49.3020,24.7480
17900,0.0,86.989,0.8505,59.5751,48.4352,23.8146
18000,0.0,86.491,0.8476,58.7046,47.5580,23.2067
18100,0.0,88.775,0.8547,60.1600,48.8790,23.3656
18200,0.0,87.649,0.8563,59.6594,49.4646,24.2267
18300,0.0,89.011,0.8655,60.6555,50.1266,24.3309
18400,0.0,90.660,0.8809,61.7282,50.6245,24.5307
18500,0.0,88.373,0.8400,59.4999,48.6391,23.0446
18600,0.0,90.476,0.8571,60.8478,49.8243,23.9065
18700,0.0,90.348,0.8497,61.0023,49.6337,23.4540
18800,0.0,87.886,0.8655,60.3608,49.7355,23.4633
18900,0.0,87.988,0.8575,60.6911,49.0587,23.4013
19000,0.0,90.232,0.8692,60.8638,49.7017,24.0038
19100,0.0,88.718,0.8627,61.1513,50.1724,24.1226
19200,0.0,91.544,0.8797,62.5945,50.9347,24.5341
19300,0.0,92.370,0.8561,63.4942,50.1884,23.9574
19400,0.0,92.390,0.8622,62.7444,50.9804,23.7118
19500,0.0,91.602,0.8498,62.7273,50.7001,23.2401
19600,0.0,92.554,0.8886,62.4178,50.3794,23.5398
19700,0.0,91.102,0.8699,62.4052,51.3406,23.7033
19800,0.0,92.867,0.8332,64.1066,51.3915,24.2476
19900,0.0,91.661,0.8729,63.2003,50.9372,23.9226
20000,0.0,91.239,0.8644,63.1240,50.8116,23.5435
20100,0.0,94.953,0.9177,64.8373,52.2894,24.3526
20200,0.0,92.568,0.8636,63.3943,49.9497,22.9206
20300,0.0,95.786,0.8755,64.7041,51.8668,23.9145
20400,0.0,93.533,0.8668,64.9504,51.9515,24.0753
20500,0.0,93.814,0.8600,64.1922,51.3697,23.4231
20600,0.0,94.822,0.8770,64.8937,52.0578,23.6661
20700,0.0,93.585,0.8475,64.2797,51.2609,23.7683
20800,0.0,93.008,0.8584,63.9379,51.8672,23.4013
20900,0.0,95.174,0.8608,64.9554,52.4075,23.4758
21000,0.0,93.639,0.8450,64.8826,52.6515,24.1527
21100,0.0,95.355,0.8912,65.1009,52.3225,23.5649
21200,0.0,97.092,0.8620,65.9651,51.9737,23.7690
21300,0.0,97.399,0.8786,65.5927,53.2616,24.4131
21400,0.0,97.517,0.8599,66.6928,53.1103,23.6631
21500,0.0,96.320,0.8444,65.6697,52.4394,23.4477
21600,0.0,95.844,0.8602,65.3205,52.1482,23.4673
