iter,wd,ratio_L,median,ch207,ch221,ch468
14000,0.1,74.028,0.7773,46.5986,39.7375,22.1855
14100,0.1,70.241,0.7629,43.8003,38.6711,21.1774
14200,0.1,70.775,0.7796,44.4833,39.0278,21.9391
14300,0.1,74.512,0.7704,45.5905,38.0356,21.4029
14400,0.1,76.427,0.7838,47.1154,40.2237,22.7623
14500,0.1,74.421,0.7791,45.6335,38.8726,21.1419
14600,0.1,71.963,0.7819,44.4294,38.5998,21.0222
14700,0.1,75.792,0.7752,46.3074,39.2113,21.6863
14800,0.1,75.451,0.7743,45.5466,39.0874,21.2151
14900,0.1,76.191,0.7685,46.8143,38.5257,20.9528
15000,0.1,75.274,0.7834,45.9177,39.1382,21.3945
15100,0.1,74.528,0.7821,44.9499,38.5640,20.8807
15200,0.1,75.174,0.7736,44.5945,38.1697,21.1508
15300,0.1,76.258,0.8016,46.6090,38.8380,21.1297
15400,0.1,74.073,0.7759,45.3977,37.6208,20.2624
15500,0.1,76.055,0.7494,45.4099,38.3258,20.6777
15600,0.1,76.961,0.7845,46.5777,39.1133,21.2462
15700,0.1,74.949,0.7693,45.5677,38.2723,20.5165
15800,0.1,75.403,0.7604,45.4526,37.9985,19.5710
15900,0.1,75.182,0.7437,45.3105,38.4537,19.9341
16000,0.1,74.175,0.7603,44.2124,38.0917,19.5843
16100,0.1,75.775,0.7614,45.7800,38.8970,19.8358
16200,0.1,76.248,0.7497,45.0389,37.7147,19.4348
16300,0.1,77.212,0.7823,45.5851,37.9567,19.4127
16400,0.1,76.079,0.7926,45.2846,38.4035,19.5559
16500,0.1,77.194,0.7522,45.4091,37.7494,19.5202
16600,0.1,77.627,0.7689,46.0675,38.2695,19.8222
16700,0.1,78.448,0.7793,46.6491,39.1122,20.4315
16800,0.1,75.191,0.7470,45.0570,37.3766,19.1264
16900,0.1,78.222,0.7779,46.0043,38.1964,20.2449
17000,0.1,78.816,0.8054,45.6555,38.1701,19.4293
17100,0.1,76.393,0.7624,44.8153,37.9147,19.1395
17200,0.1,76.854,0.7582,46.1322,38.2054,19.4218
17300,0.1,78.643,0.7654,46.2664,38.1615,19.5627
17400,0.1,76.375,0.7641,45.1920,37.3966,17.9003
17500,0.1,74.103,0.7496,44.7517,37.1367,18.5743
17600,0.1,75.971,0.7606,45.3976,37.5926,18.8383
17700,0.1,78.821,0.7511,45.9787,37.8599,19.1556
17800,0.1,76.783,0.7492,45.2120,37.5085,18.6181
17900,0.1,77.621,0.7417,45.6948,37.9862,18.4685
