ckpt,layer,ma_channel,alpha,ma_mag,g_radial,g_radial_std
6000,2,221,1.0,33.880,-0.000001,0.000003
6000,2,221,2.0,67.573,0.000001,0.000004
10000,2,207,1.0,41.948,-0.000001,0.000003
10000,2,207,2.0,74.998,0.000001,0.000002
16000,2,207,1.0,44.915,-0.000001,0.000003
16000,2,207,2.0,79.321,0.000001,0.000003
20000,2,207,1.0,41.359,-0.000001,0.000004
20000,2,207,2.0,73.093,0.000002,0.000002
30000,2,207,1.0,29.869,-0.000000,0.000005
30000,2,207,2.0,52.080,0.000004,0.000004
40000,2,207,1.0,22.877,0.000001,0.000009
40000,2,207,2.0,39.001,0.000006,0.000004
