ckpt,loss,ma_L0,gup_L0,gres_L0,gother_L0,ma_L1,gup_L1,gres_L1,gother_L1,ma_L2,gup_L2,gres_L2,gother_L2,ma_L3,gup_L3,gres_L3,gother_L3,ma_L4,gup_L4,gres_L4,gother_L4,ma_L5,gup_L5,gres_L5,gother_L5,ma_L6,gup_L6,gres_L6,gother_L6,ma_L7,gup_L7,gres_L7,gother_L7
2000,4.736639499664307,9.3801,0.000244,0.000132,0.000078,15.7256,0.000098,0.000126,0.000093,16.4060,0.000116,0.000118,0.000086,17.4304,0.000096,0.000112,0.000077,17.2507,0.000091,0.000107,0.000065,30.1246,0.000090,0.000110,0.000056,12.5754,0.000614,0.000046,0.000041,11.4736,0.000041,0.000054,0.000045
4000,4.4561309814453125,20.1708,0.000333,0.000111,0.000069,30.1087,0.000132,0.000103,0.000085,30.0001,0.000148,0.000095,0.000079,30.4809,0.000101,0.000090,0.000068,29.1474,0.000094,0.000084,0.000057,73.5317,0.000099,0.000080,0.000049,26.1336,0.000656,0.000043,0.000035,26.1745,0.000062,0.000046,0.000039
6000,4.332322120666504,28.0531,0.000439,0.000119,0.000065,33.6080,0.000172,0.000108,0.000081,33.8793,0.000178,0.000097,0.000074,35.0030,0.000132,0.000089,0.000065,37.7929,0.000117,0.000081,0.000053,123.3520,0.000116,0.000073,0.000045,46.6761,0.000727,0.000040,0.000033,32.8353,0.000090,0.000044,0.000037
8000,4.266292572021484,31.7627,0.000599,0.000124,0.000067,37.9123,0.000211,0.000114,0.000086,38.6972,0.000212,0.000097,0.000078,39.7900,0.000151,0.000088,0.000067,46.2114,0.000132,0.000078,0.000054,164.8625,0.000128,0.000069,0.000045,67.7121,0.000749,0.000038,0.000032,40.4632,0.000099,0.000042,0.000036
10000,4.229146480560303,32.9963,0.000722,0.000133,0.000068,40.7871,0.000270,0.000114,0.000089,41.9466,0.000201,0.000102,0.000079,43.7584,0.000161,0.000094,0.000068,51.8358,0.000137,0.000084,0.000054,200.8207,0.000133,0.000076,0.000045,90.4939,0.000849,0.000044,0.000032,36.6989,0.000130,0.000047,0.000036
13000,4.16732931137085,30.8048,0.000855,0.000135,0.000070,42.6512,0.000295,0.000112,0.000095,44.9683,0.000211,0.000101,0.000082,47.7844,0.000162,0.000095,0.000070,57.4626,0.000148,0.000085,0.000055,239.4815,0.000133,0.000077,0.000045,121.6079,0.000879,0.000046,0.000032,35.8159,0.000168,0.000047,0.000036
16000,4.113370895385742,29.5951,0.001057,0.000156,0.000077,42.4126,0.000334,0.000131,0.000108,44.9166,0.000233,0.000116,0.000090,48.2001,0.000187,0.000108,0.000076,59.2013,0.000152,0.000097,0.000059,262.8491,0.000152,0.000088,0.000048,145.3126,0.001012,0.000053,0.000034,31.7660,0.000198,0.000058,0.000038
20000,4.052144527435303,27.5443,0.001300,0.000169,0.000086,38.3693,0.000348,0.000142,0.000124,41.3551,0.000233,0.000129,0.000102,45.2685,0.000197,0.000123,0.000085,56.8416,0.000168,0.000108,0.000065,275.8956,0.000170,0.000096,0.000052,162.9831,0.001055,0.000060,0.000037,26.9737,0.000246,0.000066,0.000042
24000,4.011647701263428,24.5884,0.001420,0.000205,0.000099,33.4408,0.000364,0.000170,0.000146,36.4516,0.000253,0.000148,0.000117,40.6702,0.000206,0.000139,0.000097,52.3556,0.000169,0.000122,0.000074,268.5462,0.000175,0.000107,0.000058,164.5137,0.001038,0.000070,0.000041,23.3738,0.000261,0.000080,0.000046
28000,3.956449508666992,21.4567,0.001476,0.000240,0.000114,28.8022,0.000385,0.000195,0.000168,31.5145,0.000262,0.000172,0.000135,35.5569,0.000211,0.000163,0.000113,46.4727,0.000172,0.000143,0.000084,263.7620,0.000181,0.000125,0.000066,167.6491,0.001115,0.000085,0.000046,18.2119,0.000306,0.000098,0.000053
32000,3.921531915664673,19.7799,0.001564,0.000277,0.000131,25.7230,0.000423,0.000222,0.000194,28.0392,0.000272,0.000198,0.000156,32.1168,0.000216,0.000187,0.000129,42.6644,0.000183,0.000162,0.000095,255.4652,0.000191,0.000139,0.000074,165.1856,0.001197,0.000094,0.000051,17.9900,0.000351,0.000109,0.000060
36000,3.884960889816284,18.5318,0.001570,0.000320,0.000145,23.0071,0.000459,0.000254,0.000215,25.1010,0.000281,0.000232,0.000173,28.8485,0.000230,0.000220,0.000143,38.9854,0.000199,0.000188,0.000104,251.7570,0.000205,0.000160,0.000080,165.3293,0.001218,0.000117,0.000056,13.4186,0.000375,0.000142,0.000065
40000,3.8798091411590576,17.5753,0.001609,0.000375,0.000159,21.2542,0.000476,0.000294,0.000237,22.8768,0.000304,0.000266,0.000190,26.4467,0.000247,0.000249,0.000156,36.0569,0.000205,0.000212,0.000113,244.0535,0.000211,0.000182,0.000087,160.5485,0.001321,0.000132,0.000060,11.8154,0.000401,0.000160,0.000071
