ckpt,loss,ma_L0,rms_L0,gamma_L0,gup_L0,gres_L0,gother_L0,grad_radial_L0,grad_tang_L0,ma_L1,rms_L1,gamma_L1,gup_L1,gres_L1,gother_L1,grad_radial_L1,grad_tang_L1,ma_L2,rms_L2,gamma_L2,gup_L2,gres_L2,gother_L2,grad_radial_L2,grad_tang_L2,ma_L3,rms_L3,gamma_L3,gup_L3,gres_L3,gother_L3,grad_radial_L3,grad_tang_L3,ma_L4,rms_L4,gamma_L4,gup_L4,gres_L4,gother_L4,grad_radial_L4,grad_tang_L4,ma_L5,rms_L5,gamma_L5,gup_L5,gres_L5,gother_L5,grad_radial_L5,grad_tang_L5,ma_L6,rms_L6,gamma_L6,gup_L6,gres_L6,gother_L6,grad_radial_L6,grad_tang_L6,ma_L7,rms_L7,gamma_L7,gup_L7,gres_L7,gother_L7,grad_radial_L7,grad_tang_L7
2000,4.736639499664307,9.3801,1.63418,0.92990,0.000244,0.000132,0.000078,0.000000,0.000132,15.7256,2.02368,1.09592,0.000098,0.000126,0.000093,-0.000001,0.000126,16.4060,2.07818,1.14537,0.000116,0.000118,0.000086,-0.000002,0.000118,17.4304,2.35205,1.16974,0.000096,0.000112,0.000077,-0.000001,0.000111,17.2507,3.04281,1.24613,0.000091,0.000107,0.000065,-0.000000,0.000107,30.1246,6.76053,1.22063,0.000090,0.000110,0.000056,0.000000,0.000110,12.5754,2.51551,1.15584,0.000614,0.000046,0.000041,0.000001,0.000046,11.4736,2.00223,1.11141,0.000041,0.000054,0.000045,-0.000000,0.000054
4000,4.4561309814453125,20.1708,2.16931,0.84038,0.000333,0.000111,0.000069,-0.000003,0.000111,30.1087,2.98636,1.25289,0.000132,0.000103,0.000085,-0.000002,0.000103,30.0001,2.88753,1.30792,0.000148,0.000095,0.000079,-0.000001,0.000094,30.4809,2.96557,1.31742,0.000101,0.000090,0.000068,-0.000001,0.000090,29.1474,3.44622,1.43588,0.000094,0.000084,0.000057,-0.000000,0.000084,73.5317,11.26823,1.38786,0.000099,0.000080,0.000049,-0.000000,0.000080,26.1336,3.57440,1.20245,0.000656,0.000043,0.000035,-0.000000,0.000043,26.1745,3.00947,1.20456,0.000062,0.000046,0.000039,-0.000000,0.000046
6000,4.332322120666504,28.0531,2.38304,0.76769,0.000439,0.000119,0.000065,-0.000001,0.000118,33.6080,3.22770,1.37863,0.000172,0.000108,0.000081,-0.000001,0.000108,33.8793,3.14883,1.41345,0.000178,0.000097,0.000074,-0.000001,0.000097,35.0030,3.27632,1.39500,0.000132,0.000089,0.000065,-0.000001,0.000089,37.7929,3.80885,1.53555,0.000117,0.000081,0.000053,-0.000000,0.000081,123.3520,14.38095,1.46805,0.000116,0.000073,0.000045,0.000000,0.000073,46.6761,4.95150,1.23326,0.000727,0.000040,0.000033,0.000000,0.000040,32.8353,3.40534,1.24903,0.000090,0.000044,0.000037,-0.000000,0.000044
8000,4.266292572021484,31.7627,2.47712,0.71764,0.000599,0.000124,0.000067,-0.000001,0.000124,37.9123,3.44074,1.47092,0.000211,0.000114,0.000086,0.000000,0.000114,38.6972,3.36769,1.48564,0.000212,0.000097,0.000078,0.000000,0.000097,39.7900,3.45692,1.44421,0.000151,0.000088,0.000067,0.000001,0.000088,46.2114,4.00623,1.60007,0.000132,0.000078,0.000054,0.000001,0.000078,164.8625,15.98047,1.51980,0.000128,0.000069,0.000045,0.000000,0.000069,67.7121,5.88055,1.25989,0.000749,0.000038,0.000032,0.000000,0.000038,40.4632,3.84604,1.27731,0.000099,0.000042,0.000036,-0.000000,0.000042
10000,4.229146480560303,32.9963,2.52240,0.68215,0.000722,0.000133,0.000068,-0.000001,0.000133,40.7871,3.50214,1.53642,0.000270,0.000114,0.000089,-0.000001,0.000114,41.9466,3.43267,1.54404,0.000201,0.000102,0.000079,-0.000001,0.000102,43.7584,3.54684,1.48240,0.000161,0.000094,0.000068,-0.000001,0.000094,51.8358,4.16182,1.64959,0.000137,0.000084,0.000054,-0.000001,0.000084,200.8207,17.37566,1.55561,0.000133,0.000076,0.000045,0.000000,0.000076,90.4939,6.98293,1.27886,0.000849,0.000044,0.000032,-0.000000,0.000044,36.6989,3.46669,1.29391,0.000130,0.000047,0.000036,-0.000000,0.000047
13000,4.16732931137085,30.8048,2.30965,0.63688,0.000855,0.000135,0.000070,-0.000001,0.000135,42.6512,3.44376,1.61134,0.000295,0.000112,0.000095,-0.000001,0.000112,44.9683,3.40197,1.61137,0.000211,0.000101,0.000082,-0.000001,0.000101,47.7844,3.51055,1.51876,0.000162,0.000095,0.000070,-0.000000,0.000095,57.4626,4.18457,1.70191,0.000148,0.000085,0.000055,-0.000000,0.000085,239.4815,18.57002,1.59648,0.000133,0.000077,0.000045,0.000000,0.000077,121.6079,8.29125,1.30213,0.000879,0.000046,0.000032,0.000000,0.000046,35.8159,3.57340,1.30499,0.000168,0.000047,0.000036,-0.000000,0.000047
16000,4.113370895385742,29.5951,2.19936,0.61547,0.001057,0.000156,0.000077,-0.000001,0.000156,42.4126,3.29475,1.66780,0.000334,0.000131,0.000108,-0.000001,0.000131,44.9166,3.25709,1.66559,0.000233,0.000116,0.000090,-0.000001,0.000116,48.2001,3.38235,1.54502,0.000187,0.000108,0.000076,-0.000001,0.000108,59.2013,4.11489,1.73599,0.000152,0.000097,0.000059,-0.000001,0.000097,262.8491,19.06105,1.62919,0.000152,0.000088,0.000048,-0.000000,0.000088,145.3126,9.23759,1.30578,0.001012,0.000053,0.000034,0.000000,0.000053,31.7660,3.15097,1.31921,0.000198,0.000058,0.000038,-0.000000,0.000058
20000,4.052144527435303,27.5443,2.03950,0.60378,0.001300,0.000169,0.000086,-0.000002,0.000169,38.3693,2.96228,1.72439,0.000348,0.000142,0.000124,-0.000001,0.000142,41.3551,2.92938,1.72276,0.000233,0.000129,0.000102,-0.000001,0.000129,45.2685,3.06575,1.58176,0.000197,0.000123,0.000085,-0.000001,0.000123,56.8416,3.82848,1.77817,0.000168,0.000108,0.000065,-0.000000,0.000108,275.8956,19.09484,1.66975,0.000170,0.000096,0.000052,-0.000000,0.000096,162.9831,10.04053,1.32577,0.001055,0.000060,0.000037,-0.000000,0.000059,26.9737,2.73240,1.34973,0.000246,0.000066,0.000042,-0.000000,0.000066
24000,4.011647701263428,24.5884,1.79327,0.60261,0.001420,0.000205,0.000099,-0.000002,0.000205,33.4408,2.57337,1.76034,0.000364,0.000170,0.000146,-0.000000,0.000170,36.4516,2.57222,1.77080,0.000253,0.000148,0.000117,-0.000000,0.000148,40.6702,2.70812,1.60948,0.000206,0.000139,0.000097,0.000000,0.000139,52.3556,3.46444,1.81359,0.000169,0.000122,0.000074,-0.000001,0.000122,268.5462,18.08651,1.70748,0.000175,0.000107,0.000058,-0.000001,0.000107,164.5137,9.91039,1.34699,0.001038,0.000070,0.000041,-0.000001,0.000070,23.3738,2.43245,1.38358,0.000261,0.000080,0.000046,-0.000000,0.000080
28000,3.956449508666992,21.4567,1.56701,0.59907,0.001476,0.000240,0.000114,-0.000001,0.000240,28.8022,2.24977,1.78362,0.000385,0.000195,0.000168,-0.000001,0.000194,31.5145,2.24442,1.80865,0.000262,0.000172,0.000135,-0.000001,0.000172,35.5569,2.36641,1.63613,0.000211,0.000163,0.000113,-0.000001,0.000163,46.4727,3.08352,1.84897,0.000172,0.000143,0.000084,-0.000001,0.000143,263.7620,17.59870,1.74264,0.000181,0.000125,0.000066,-0.000001,0.000125,167.6491,10.15141,1.35648,0.001115,0.000085,0.000046,-0.000001,0.000085,18.2119,2.01767,1.41619,0.000306,0.000098,0.000053,-0.000000,0.000098
