iter,wd,ratio_L,median,ch207,ch221,ch468
4000,0.1,45.357,0.9286,23.1397,29.9934,23.2956
4200,0.1,44.416,0.9082,24.6767,29.6051,22.6826
4400,0.1,45.166,0.9035,25.8967,30.0750,23.8183
4600,0.1,44.643,0.8942,25.3071,29.8495,23.4830
4800,0.1,46.476,0.8850,27.1965,31.0998,24.3710
5000,0.1,48.365,0.9056,27.8614,32.6370,25.4077
5200,0.1,49.850,0.8745,29.3275,32.8157,25.0035
5400,0.1,49.339,0.8675,29.3940,32.6227,24.9341
5600,0.1,50.574,0.8895,30.2487,34.0596,25.9859
5800,0.1,48.271,0.8985,31.8978,33.0794,24.9060
6000,0.1,48.939,0.8869,31.6830,33.5237,25.2052
6200,0.1,52.460,0.8779,33.2935,35.2083,26.1691
6400,0.1,49.118,0.8703,32.6240,33.0982,24.6066
6600,0.1,52.910,0.8240,34.3570,35.5288,26.0725
6800,0.1,51.657,0.8410,34.4974,34.1474,25.2275
7000,0.1,54.543,0.8998,35.6964,37.4336,27.7717
7200,0.1,55.193,0.8857,35.3026,36.4818,26.7517
7400,0.1,57.914,0.8648,37.5231,36.9823,26.3392
7600,0.1,55.637,0.8383,37.3338,36.0098,25.7788
7800,0.1,57.003,0.8702,38.3632,37.5911,26.9883
8000,0.1,56.933,0.8655,38.1086,37.0139,26.0021
8200,0.1,58.398,0.8321,38.3362,38.4961,26.7630
8400,0.1,60.239,0.8406,39.9159,39.6512,27.3392
8600,0.1,61.876,0.8596,40.3763,38.0732,26.0306
8800,0.1,60.754,0.8691,39.5730,39.7271,27.4935
9000,0.1,61.101,0.8801,40.3220,39.4143,26.9736
9200,0.1,62.895,0.8820,41.8495,39.8872,27.3968
9400,0.1,62.633,0.8640,42.3951,39.4301,26.0123
9600,0.1,64.243,0.8475,42.1398,39.2364,26.2319
9800,0.1,66.444,0.8387,43.0891,41.0494,26.9073
10000,0.1,67.333,0.8467,43.8143,39.8721,26.2325
10200,0.1,67.330,0.8418,44.0815,40.1239,26.3941
10400,0.1,66.815,0.8284,43.3540,40.1283,25.9228
10600,0.1,66.405,0.8267,42.8225,39.0315,24.8872
10800,0.1,65.763,0.8453,42.7189,40.5735,25.3695
11000,0.1,68.567,0.8501,44.6674,40.7967,26.0898
11200,0.1,67.340,0.8481,43.7223,38.5397,23.5745
11400,0.1,70.409,0.8358,45.5267,40.6489,25.4105
11600,0.1,72.760,0.8231,45.5355,40.3738,24.7824
11800,0.1,70.286,0.8227,44.4411,40.0897,24.4363
12000,0.1,69.890,0.7921,44.4953,40.7405,24.0074
12200,0.1,71.627,0.8301,45.3954,40.7558,24.4865
12400,0.1,72.070,0.8052,44.8678,39.9157,23.3939
12600,0.1,72.353,0.8035,45.5988,41.0759,23.7903
12800,0.1,70.003,0.8149,44.4438,40.4652,23.0771
13000,0.1,70.867,0.7892,44.4153,38.9659,22.3195
13200,0.1,75.053,0.8260,46.5969,39.5426,22.9679
13400,0.1,74.515,0.8072,45.8118,39.9917,23.2125
13600,0.1,73.409,0.8209,45.2765,39.5821,22.6397
13800,0.1,73.739,0.8240,46.5295,40.2536,22.8213
14000,0.1,74.571,0.8074,46.2744,39.7193,22.0525
14200,0.1,75.867,0.8044,46.2683,40.0162,22.2378
14400,0.1,72.829,0.7913,45.1614,38.0609,21.1383
14600,0.1,74.495,0.7698,45.2741,39.3450,21.4553
14800,0.1,74.649,0.7937,45.9081,38.8955,21.2461
