ckpt,layer,ma_mag,n_seq,g_radial_mean,g_radial_sem,gnorm_mean,chance_radial,abs_over_chance,signif_sigma
4000,5,75.804,4800,4.170e-08,1.680e-08,7.392e-05,2.606e-06,0.016,2.48
8000,5,145.472,4800,1.894e-07,1.655e-08,6.538e-05,2.306e-06,0.082,11.44
12000,5,204.912,4800,1.235e-07,1.636e-08,7.096e-05,2.502e-06,0.049,7.55
16000,5,248.129,4800,7.782e-08,1.683e-08,8.088e-05,2.852e-06,0.027,4.62
20000,5,282.909,4800,1.624e-07,1.916e-08,8.719e-05,3.074e-06,0.053,8.48
24000,5,308.412,4800,-5.716e-08,2.121e-08,9.607e-05,3.388e-06,0.017,-2.69
28000,5,338.108,4800,1.651e-08,2.556e-08,1.129e-04,3.981e-06,0.004,0.65
32000,5,360.010,4800,-8.693e-08,2.949e-08,1.251e-04,4.411e-06,0.020,-2.95
36000,5,384.040,4800,6.052e-08,3.643e-08,1.419e-04,5.003e-06,0.012,1.66
40000,5,396.843,4800,-1.347e-07,3.753e-08,1.586e-04,5.592e-06,0.024,-3.59
