ckpt,layer,channel,ma_ratio,F_mean,F_sem,signif_sigma,direction
4000,2,221,45.346,-7.9476e-04,3.2010e-04,-2.48,UP(floor)
8000,2,207,56.954,1.6755e-03,4.9685e-04,3.37,DOWN(ceil)
12000,2,207,68.595,3.9424e-06,6.2606e-04,0.01,DOWN(ceil)
16000,2,207,75.615,-9.6862e-03,7.1863e-04,-13.48,UP(floor)
20000,2,207,78.439,-3.5634e-03,6.9476e-04,-5.13,UP(floor)
24000,2,207,76.477,1.5609e-04,7.1030e-04,0.22,DOWN(ceil)
28000,2,207,74.458,-2.0685e-03,6.9888e-04,-2.96,UP(floor)
32000,2,207,73.902,4.0672e-04,6.8777e-04,0.59,DOWN(ceil)
36000,2,207,71.835,-6.5927e-04,7.0595e-04,-0.93,UP(floor)
40000,2,207,69.604,-5.2652e-03,6.5389e-04,-8.05,UP(floor)
