iter,lr,loss,ratio_L0,ratio_L1,ratio_L2,ratio_L3,ratio_L4,ratio_L5,ratio_L6,ratio_L7,birth_layer,birth_ratio,birth_channel,birth_position
0,1.9933554817275746e-06,nan,7.7131,7.7472,8.3631,8.3032,8.1019,8.0301,8.0209,7.4862,2,8.3631,449,24
50,0.00010166112956810631,7.825046539306641,10.0077,7.4753,6.5666,5.5968,5.0574,4.5277,3.8859,3.4354,0,10.0077,34,349
100,0.00020132890365448503,6.132696151733398,9.9125,7.8143,6.8376,5.9193,5.6418,5.0257,4.2855,3.6929,0,9.9125,34,131
150,0.00030099667774086375,5.600620746612549,10.3573,8.0463,6.9649,6.5449,5.9786,5.3682,4.8165,4.6066,0,10.3573,34,0
200,0.00040066445182724246,5.759556293487549,10.0691,7.5803,7.1032,6.5638,6.2567,5.8914,5.8666,5.5918,0,10.0691,34,0
250,0.0005003322259136212,6.104794025421143,9.7350,7.3746,6.8520,6.4338,5.8701,5.8722,5.8660,5.7286,0,9.7350,406,417
300,0.0006,4.719393253326416,8.7984,7.4812,7.2359,7.1060,6.8032,6.3145,6.2945,6.0473,0,8.7984,21,153
350,0.0005999978865501717,5.578025817871094,7.9559,7.3950,7.3373,7.4966,7.3110,7.2631,7.3785,7.1080,0,7.9559,487,0
400,0.0005999915462337735,5.115112781524658,8.7833,7.8932,7.5056,7.0950,7.0769,7.1959,7.2824,7.0906,0,8.7833,21,18
450,0.0005999809791500642,5.1219258308410645,8.3543,7.4010,7.5944,7.8427,7.8310,7.6296,7.1143,7.1262,0,8.3543,430,40
500,0.0005999661854644733,4.439412593841553,7.8076,7.5121,7.5322,8.3588,8.0072,8.5110,7.9022,7.5236,5,8.5110,430,224
550,0.0005999471654085987,4.921417236328125,7.9988,8.0553,8.0147,8.8890,8.3657,8.2444,7.7575,7.7451,3,8.8890,221,4
600,0.0005999239192802029,5.161032199859619,8.0257,8.1220,9.7073,10.1675,9.7923,9.7172,8.7725,8.6528,3,10.1675,221,2
650,0.0005998964474432084,4.510513782501221,8.2996,9.0873,10.2950,10.6219,10.2556,9.5398,8.5058,8.7110,3,10.6219,221,2
700,0.0005998647503276917,4.140002727508545,8.3923,9.1547,10.1077,11.3275,11.0375,9.8645,8.6515,9.4995,3,11.3275,221,0
750,0.0005998288284298771,5.135122299194336,9.7429,10.2332,11.3800,12.4451,11.9021,10.5513,8.8702,10.4280,3,12.4451,221,0
800,0.0005997886823121284,4.93989372253418,9.2481,11.4269,12.5685,13.9898,13.7953,9.6137,9.2001,10.0364,3,13.9898,221,0
850,0.0005997443126029405,4.884937286376953,10.3484,11.0271,12.1072,12.8408,12.0005,10.0159,9.7333,10.9056,3,12.8408,221,0
900,0.0005996957199969296,4.919142246246338,10.9315,12.0972,13.3689,14.7098,13.4054,10.4326,9.4939,12.7957,3,14.7098,221,0
950,0.0005996429052548216,4.792961120605469,11.8564,13.1394,14.4897,16.0598,15.2101,9.1139,9.8271,11.2234,3,16.0598,221,0
1000,0.000599585869203441,5.023582458496094,11.9803,14.4885,15.5535,17.1088,16.1141,10.3320,9.9257,13.5814,3,17.1088,221,0
1050,0.0005995246127356977,4.562036514282227,11.7096,15.2619,16.7588,18.0327,17.1504,11.7223,9.8542,12.1474,3,18.0327,221,0
1100,0.0005994591368105732,4.132907390594482,11.8907,15.9095,18.3405,20.2804,19.3340,14.7880,10.4219,14.7201,3,20.2804,221,0
1150,0.0005993894424531047,4.1176323890686035,11.9369,17.8145,19.0912,20.2487,19.3793,15.1056,11.0287,15.7339,3,20.2487,221,0
1200,0.0005993155307543707,4.227917194366455,12.2997,18.0007,20.6010,22.0399,21.3783,18.3724,11.9023,17.1794,3,22.0399,221,0
1250,0.000599237402871472,4.2984538078308105,11.6420,19.3474,21.6171,22.6844,22.2604,19.8958,11.6521,17.0377,3,22.6844,221,0
1300,0.0005991550600275153,4.110137462615967,12.2043,19.5026,22.2703,24.1913,23.1278,21.1699,11.0138,16.7691,3,24.1913,221,0
1350,0.0005990685035115928,4.328160762786865,12.1099,19.3669,21.2444,22.4135,22.2467,22.5310,11.1155,19.3572,5,22.5310,221,0
1400,0.0005989777346787627,4.244436264038086,12.4144,21.1014,23.6706,24.7517,23.9191,24.1811,11.5384,19.0242,3,24.7517,221,0
1450,0.0005988827549500277,4.621944427490234,13.1579,22.5670,25.0118,26.3881,25.5795,26.4176,11.9618,20.1604,5,26.4176,221,0
1500,0.0005987835658123131,4.313642978668213,13.6967,21.8179,24.9096,25.7073,25.0822,26.8573,12.0316,21.9387,5,26.8573,221,0
1550,0.0005986801688184429,4.65090799331665,13.6504,22.2587,24.9770,26.6647,26.0731,28.7380,12.2342,21.4671,5,28.7380,221,0
1600,0.0005985725655871162,4.6304612159729,14.6732,23.4255,25.7376,26.5613,25.4079,27.7616,12.1476,21.4613,5,27.7616,308,0
1650,0.0005984607578028813,4.806847095489502,14.5966,23.5118,25.9186,26.9190,26.4064,32.3462,13.1916,22.6951,5,32.3462,308,0
1700,0.0005983447472161096,4.1976799964904785,14.2835,23.8771,25.6577,26.7644,25.5582,30.7756,13.1267,23.3417,5,30.7756,308,0
1750,0.0005982245356429682,4.111827850341797,14.4985,23.7460,26.1912,27.3810,26.4278,33.0479,12.9795,24.5446,5,33.0479,308,0
1800,0.0005981001249653915,3.72226619720459,14.6333,25.3429,27.1600,27.4497,26.2691,34.0047,13.1678,25.0353,5,34.0047,308,0
1850,0.0005979715171310514,4.055138111114502,15.7537,27.4072,28.8009,30.0315,29.0510,36.5461,14.4970,27.0010,5,36.5461,308,0
1900,0.0005978387141533272,3.9898154735565186,15.8878,28.7216,29.7884,30.0155,28.2457,38.6419,13.3770,26.8284,5,38.6419,308,0
1950,0.0005977017181112741,4.013638019561768,15.9594,27.2395,28.1373,28.7685,27.6935,39.0652,13.8224,26.5743,5,39.0652,308,0
2000,0.0005975605311495901,4.288808345794678,16.8518,26.3596,27.9180,29.1309,28.2311,38.5804,14.1479,27.3430,5,38.5804,308,0
2050,0.0005974151554785833,3.7697582244873047,17.6972,29.5715,30.4393,31.5583,29.9996,41.6427,15.2933,29.5453,5,41.6427,308,0
2100,0.0005972655933741363,4.020330429077148,17.9517,31.2416,31.9055,31.8594,28.6385,39.3494,13.6478,27.1677,5,39.3494,308,0
2150,0.0005971118471776715,3.624335527420044,18.4819,29.4704,30.6653,30.2837,27.9300,43.2824,14.4152,30.7409,5,43.2824,308,0
2200,0.0005969539192961138,4.459109783172607,18.5935,31.1797,31.8288,30.9943,28.5615,41.7435,15.2908,29.8888,5,41.7435,308,0
2250,0.0005967918122018535,3.6320769786834717,19.9668,31.8585,32.3663,31.8898,27.6958,44.0537,15.1351,31.4027,5,44.0537,308,0
2300,0.0005966255284327066,3.671555757522583,18.3480,32.2361,33.0361,31.8746,28.6397,44.6487,15.4392,32.4035,5,44.6487,308,0
2350,0.0005964550705918763,4.021392345428467,19.5982,31.9150,31.8874,31.2569,27.8389,45.1913,16.1118,31.1063,5,45.1913,308,0
2400,0.0005962804413479114,4.215327739715576,20.1050,32.5453,33.1815,32.5547,28.2287,46.5344,16.0784,31.1462,5,46.5344,308,0
2450,0.0005961016434346648,4.094292163848877,19.5028,32.6221,33.5956,32.9324,29.1053,48.6732,16.1647,32.5792,5,48.6732,308,0
2500,0.0005959186796512508,3.931791067123413,20.0846,34.1827,35.1255,33.7287,29.5532,48.8432,16.2556,32.0214,5,48.8432,308,0
2550,0.000595731552862001,3.6891422271728516,20.9387,35.3218,35.6284,33.9020,29.3802,50.7424,16.5805,32.6728,5,50.7424,308,0
2600,0.0005955402659964199,3.2634212970733643,21.4551,34.2089,34.9723,35.2010,31.7018,53.8581,18.2390,34.7147,5,53.8581,308,0
2650,0.0005953448220491381,4.010578632354736,20.9120,35.9242,35.7992,35.0524,30.5722,52.0254,17.0031,33.7866,5,52.0254,308,0
2700,0.000595145224079867,3.915205717086792,21.9826,37.2843,36.1576,34.4725,30.0347,51.8408,16.8323,35.4032,5,51.8408,308,0
2750,0.0005949414752133493,3.709946393966675,21.8113,36.7373,36.3331,34.6779,30.2253,54.5783,16.5353,36.1987,5,54.5783,308,0
2800,0.000594733578639311,3.78070068359375,22.8259,36.6427,35.6936,34.8815,30.9824,53.8155,17.5392,36.2685,5,53.8155,308,0
2850,0.0005945215376124113,3.2023305892944336,24.1027,39.1224,38.0114,36.6780,32.2704,55.6282,19.0827,36.2784,5,55.6282,308,0
2900,0.0005943053554521914,4.149325847625732,24.6642,39.5916,38.7940,37.4663,33.1590,59.3840,18.9172,36.5228,5,59.3840,308,0
2950,0.0005940850355430228,3.773634672164917,24.7824,39.6265,38.1706,37.6900,33.3845,59.4039,19.1719,36.0104,5,59.4039,308,0
3000,0.000593860581334054,3.6803665161132812,25.1192,37.1354,36.7805,35.1965,30.9094,61.2465,18.7799,37.2636,5,61.2465,308,0
3050,0.0005936319963391573,4.691131591796875,25.2080,39.0621,37.8145,36.0641,30.1274,55.9160,17.0220,35.0896,5,55.9160,308,0
3100,0.0005933992841368725,3.6300573348999023,26.5188,39.4439,38.7964,37.4576,31.8172,59.0598,18.6298,39.3034,5,59.0598,308,0
3150,0.0005931624483703521,3.8067033290863037,26.9955,40.8712,39.8435,38.3081,32.3888,62.0077,18.5280,40.8778,5,62.0077,308,0
3200,0.0005929214927473036,3.5992844104766846,26.9900,41.3626,40.2356,38.4695,32.5385,59.8923,20.7750,41.9776,5,59.8923,308,0
3250,0.0005926764210399314,3.8925819396972656,26.4622,39.8632,39.4533,37.4355,31.5763,62.8517,19.3926,38.8752,5,62.8517,308,0
3300,0.0005924272370848784,4.146363258361816,27.5703,40.9807,39.3781,37.9244,32.5158,60.2455,21.2035,40.0328,5,60.2455,308,0
3350,0.000592173944783165,3.0669431686401367,28.9618,40.7655,39.5831,37.8220,33.4121,66.9893,21.0357,39.5027,5,66.9893,308,0
3400,0.000591916548100129,4.022057056427002,28.6063,41.0872,41.9420,39.8515,33.5183,65.3910,20.8126,40.7908,5,65.3910,308,0
3450,0.0005916550510653627,2.994614839553833,29.4116,40.5907,39.2329,37.7617,32.0321,64.2745,19.9781,38.6370,5,64.2745,308,0
3500,0.0005913894577726502,3.462643623352051,29.8033,43.0594,41.6285,39.1986,33.6056,66.9905,19.9470,40.6652,5,66.9905,308,0
3550,0.0005911197723799035,3.932419776916504,31.3589,42.2333,40.6013,39.1439,33.6574,68.3576,19.9200,40.2315,5,68.3576,308,0
3600,0.0005908459991090969,3.831486940383911,31.5042,42.4805,41.0868,38.8332,33.1799,67.0453,20.5991,38.9464,5,67.0453,308,0
3650,0.0005905681422462013,3.6889894008636475,32.3228,42.7085,40.9605,39.4163,34.5701,69.9984,22.7317,41.8159,5,69.9984,308,0
3700,0.0005902862061411172,3.775738477706909,31.4336,45.3236,43.4361,40.8706,33.5747,68.4590,20.2564,41.5735,5,68.4590,308,0
