iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
4000,0.4,45.357,0.9286,4.82713,23.1397,29.9934,23.2956
4100,0.4,42.692,0.8789,4.82717,22.9749,26.6850,20.8060
4200,0.4,42.887,0.8620,4.83236,22.8243,27.0969,20.7888
4300,0.4,44.089,0.8123,4.82071,22.0097,26.0054,20.2666
4400,0.4,42.921,0.8113,4.82451,22.0219,25.6276,20.3959
4500,0.4,41.697,0.8025,4.81022,21.5994,24.9459,19.2520
4600,0.4,39.581,0.7628,4.80371,19.5575,22.7689,18.0872
4700,0.4,42.185,0.7905,4.80216,20.6511,23.7388,18.7773
4800,0.4,41.563,0.7668,4.78266,20.5783,22.9038,18.2564
4900,0.4,40.349,0.7437,4.76099,19.1194,21.7578,16.7401
5000,0.4,41.710,0.7503,4.75826,19.3486,21.9759,17.0659
5100,0.4,41.392,0.7324,4.75797,19.2869,21.8137,16.7789
5200,0.4,42.672,0.7007,4.74911,19.3493,21.2435,16.3758
5300,0.4,40.777,0.7193,4.74232,19.2814,21.1474,16.4572
5400,0.4,40.489,0.6665,4.73631,18.5035,19.7358,15.2942
5500,0.4,40.170,0.6915,4.72757,18.0941,19.2942,14.9748
5600,0.4,39.383,0.6824,4.71415,18.0459,19.3223,15.1286
5700,0.4,38.530,0.6408,4.71074,17.1645,18.4973,14.4482
5800,0.4,39.020,0.6549,4.70239,18.0543,17.6120,13.6858
5900,0.4,38.423,0.6491,4.69390,17.6128,18.0227,14.3166
6000,0.4,39.234,0.6343,4.68776,17.2484,17.1985,13.3097
6100,0.4,41.729,0.6613,4.68473,19.1584,18.4128,14.5461
6200,0.4,40.860,0.6255,4.67258,17.7818,18.0589,13.9746
6300,0.4,41.595,0.6244,4.66908,16.4172,16.8252,12.8326
6400,0.4,39.670,0.6200,4.66849,17.1803,16.0032,12.4488
6500,0.4,39.494,0.5669,4.65287,16.4935,16.4168,12.3665
6600,0.4,42.112,0.5976,4.64773,17.7204,16.3154,12.3668
6700,0.4,42.150,0.6080,4.64680,17.6444,17.0274,13.1242
6800,0.4,41.660,0.6057,4.65373,17.3768,16.0796,12.6526
6900,0.4,44.859,0.6056,4.65352,17.5363,15.4129,12.0161
7000,0.4,43.045,0.5919,4.66108,16.2919,15.3733,11.8000
7100,0.4,41.033,0.5731,4.65712,16.1806,14.7561,11.1863
7200,0.4,41.060,0.5861,4.66237,16.2859,14.4516,10.8267
7300,0.4,44.372,0.5930,4.65070,16.7772,14.4307,11.1355
7400,0.4,42.332,0.5572,4.65411,16.1170,14.4457,10.4234
7500,0.4,42.605,0.5510,4.64959,16.8218,14.1533,10.5927
7600,0.4,42.318,0.5541,4.64793,16.3241,14.2689,10.4469
7700,0.4,42.540,0.5286,4.64472,16.0405,13.6445,9.8520
7800,0.4,45.610,0.5489,4.64929,17.2782,14.0785,10.4456
7900,0.4,42.338,0.5197,4.65756,15.7731,13.1800,9.4299
8000,0.4,44.003,0.5463,4.64969,16.5816,13.2088,9.6892
8100,0.4,45.067,0.5483,4.66216,16.3944,13.8539,9.7300
8200,0.4,47.636,0.5300,4.65313,16.6429,12.7370,9.1177
8300,0.4,47.213,0.5441,4.65430,17.0651,13.2540,9.1371
8400,0.4,46.462,0.5186,4.65386,16.5471,12.6296,8.6903
8500,0.4,43.026,0.5142,4.65341,15.9780,12.7908,8.5113
8600,0.4,46.709,0.5152,4.65015,16.1575,12.1745,8.4634
