family,model,count,cliff,n_above,sink_attn,sink_attn_max
70m,70m,2,3.6,3,0.063,0.129
70m,70m-seed1,3,4.9,4,0.039,0.092
70m,70m-seed2,4,4.1,6,0.072,0.145
70m,70m-seed3,4,6.8,4,0.066,0.14
70m,70m-seed4,2,6.1,3,0.072,0.147
160m,160m,3,13.5,3,0.113,0.206
160m,160m-seed1,1,4.1,2,0.112,0.2
160m,160m-seed2,2,12.1,2,0.129,0.224
160m,160m-seed3,2,13.5,2,0.131,0.232
160m,160m-seed4,2,4.4,2,0.15,0.238
410m,410m,3,16.0,3,0.465,0.838
410m,410m-seed1,2,26.5,2,0.476,0.875
410m,410m-seed2,2,9.1,2,0.169,0.255
