iter,ma_gain,ma_mag
500,1.0115407705307007,nan
1000,1.028995156288147,3.6935
1500,1.0319374799728394,nan
2000,1.0253907442092896,26.1177
2500,1.0158413648605347,nan
3000,1.0033241510391235,49.9093
3500,0.9893649220466614,nan
4000,0.9737570881843567,72.4039
4500,0.9595653414726257,nan
5000,0.946191668510437,98.5294
5500,0.9320122599601746,nan
6000,0.9183470606803894,123.3421
6500,0.9048770666122437,nan
7000,0.8925102353096008,144.9365
7500,0.8810291290283203,nan
8000,0.8699496984481812,164.8625
8500,0.8604451417922974,nan
9000,0.8492191433906555,180.6888
9500,0.8390840291976929,nan
10000,0.8289867043495178,200.8495
10500,0.8210849165916443,nan
11000,0.8142210841178894,216.4836
11500,0.806041955947876,nan
12000,0.7974197268486023,226.5063
12500,0.7908693552017212,nan
13000,0.7836800813674927,239.5416
13500,0.7768679857254028,nan
14000,0.7715632915496826,250.4279
14500,0.7654476165771484,nan
15000,0.7601262927055359,257.5682
15500,0.7548428177833557,nan
16000,0.7502331137657166,262.8899
16500,0.7451853156089783,nan
17000,0.7403974533081055,261.8659
17500,0.7357374429702759,nan
18000,0.732250452041626,265.9541
18500,0.727957546710968,nan
19000,0.7256430983543396,269.2731
19500,0.7221297025680542,nan
20000,0.7187133431434631,275.8178
20500,0.7161681056022644,nan
21000,0.7139345407485962,271.3774
21500,0.7113649845123291,nan
22000,0.7095167636871338,275.2324
22500,0.7071927189826965,nan
23000,0.7055137157440186,271.0355
23500,0.7035092115402222,nan
24000,0.7019023895263672,268.5199
24500,0.7010972499847412,nan
25000,0.6994442939758301,266.6807
25500,0.6981156468391418,nan
26000,0.6974442005157471,270.9736
26500,0.696653425693512,nan
27000,0.6955528855323792,269.7381
27500,0.6949707865715027,nan
28000,0.6942256093025208,263.7682
28500,0.6939669251441956,nan
29000,0.6933534741401672,261.3536
29500,0.692437469959259,nan
30000,0.6922855973243713,259.4482
30500,0.6921577453613281,nan
31000,0.6917394995689392,258.5042
31500,0.6913233399391174,nan
32000,0.690988302230835,255.4709
32500,0.6911495327949524,nan
33000,0.6911595463752747,256.1123
33500,0.6910346150398254,nan
34000,0.6908881068229675,255.4847
34500,0.6909945011138916,nan
35000,0.6909558176994324,251.793
35500,0.6908619999885559,nan
36000,0.6906560659408569,251.56
36500,0.6907732486724854,nan
37000,0.6909263730049133,248.327
37500,0.6910988688468933,nan
38000,0.6912089586257935,248.3926
38500,0.6913909912109375,nan
39000,0.6915012001991272,244.0673
39500,0.6914247274398804,nan
40000,0.6914713382720947,244.2901
