model,n_params,rank,mag,mag_over_median
ours-51M,51192320,1,244.31906127929688,195.45114829499582
ours-51M,51192320,2,144.35781860351562,115.48383193550161
ours-51M,51192320,3,125.19175720214844,100.15130450364771
ours-51M,51192320,4,108.01569366455078,86.41074196205554
ours-51M,51192320,5,77.49923706054688,61.99808887671728
ours-51M,51192320,6,74.74473571777344,59.79453403492076
ours-51M,51192320,7,73.91934204101562,59.13423294718318
ours-51M,51192320,8,53.409976959228516,42.727085117427414
ours-51M,51192320,9,27.903057098388672,22.321977344970403
ours-51M,51192320,10,27.189701080322266,21.751304503710433
ours-51M,51192320,11,24.763776779174805,19.81060578027364
ours-51M,51192320,12,24.343900680541992,19.474711948700705
ours-51M,51192320,13,22.61676788330078,18.093034699651174
ours-51M,51192320,14,20.47531509399414,16.37990841102716
ours-51M,51192320,15,18.177440643310547,14.54164741873225
ours-51M,51192320,16,17.243099212646484,13.794189956483255
ours-51M,51192320,17,17.04279136657715,13.633947041658063
ours-51M,51192320,18,13.14241886138916,10.51371450259411
ours-51M,51192320,19,12.983013153076172,10.386192611459574
ours-51M,51192320,20,12.453253746032715,9.962393977474344
ours-51M,51192320,21,10.392289161682129,8.313656901875671
ours-51M,51192320,22,10.33240795135498,8.265752938679137
ours-51M,51192320,23,8.410896301269531,6.728575869870394
ours-51M,51192320,24,7.603923797607422,6.083011411422582
ours-51M,51192320,25,6.370597839355469,5.096371345354201
ours-51M,51192320,26,6.297423362731934,5.037832992238945
ours-51M,51192320,27,5.714431285858154,4.571449115863434
ours-51M,51192320,28,5.494706153869629,4.395672698208763
ours-51M,51192320,29,5.423079967498779,4.338372951308662
ours-51M,51192320,30,5.346229553222656,4.276893909769437
ours-51M,51192320,31,5.259900093078613,4.207831790635181
ours-51M,51192320,32,5.068910121917725,4.055043019342587
ours-51M,51192320,33,5.039953231811523,4.031877993279234
ours-51M,51192320,34,4.9051127433776855,3.9240078657375923
ours-51M,51192320,35,4.898784637451172,3.918945487209314
ours-51M,51192320,36,4.840741157531738,3.8725116774939026
ours-51M,51192320,37,4.737586975097656,3.7899900629190793
ours-51M,51192320,38,4.639096260070801,3.711199143996924
ours-51M,51192320,39,4.529537677764893,3.623554117018114
ours-51M,51192320,40,4.468433380126953,3.5746717045016307
ours-51M,51192320,41,4.356533527374268,3.485153700462023
ours-51M,51192320,42,4.291824817657471,3.433387818780047
ours-51M,51192320,43,4.18040657043457,3.3442550910808473
ours-51M,51192320,44,4.086499214172363,3.2691307822418674
ours-51M,51192320,45,4.010727882385254,3.208514988582191
ours-51M,51192320,46,3.9898383617401123,3.191803722682403
ours-51M,51192320,47,3.893256425857544,3.1145397950381244
ours-51M,51192320,48,3.8794775009155273,3.1035168863543476
ours-51M,51192320,49,3.8492889404296875,3.0793665446600285
ours-51M,51192320,50,3.7691314220428467,3.015241875339711
ours-51M,51192320,51,3.6943001747131348,2.9553781334672777
ours-51M,51192320,52,3.6234326362609863,2.8986852921687514
ours-51M,51192320,53,3.6063411235809326,2.8850123688940656
ours-51M,51192320,54,3.5335757732391357,2.826801309937296
ours-51M,51192320,55,3.5028419494628906,2.802214766762524
ours-51M,51192320,56,3.4927518367767334,2.7941428459692426
ours-51M,51192320,57,3.3785505294799805,2.7027837169227222
ours-51M,51192320,58,3.327455997467041,2.6619089488991654
ours-51M,51192320,59,3.326597213745117,2.661221936335724
ours-51M,51192320,60,3.3029510974884033,2.642305440214251
ours-51M,51192320,61,3.300645351409912,2.64046088205183
ours-51M,51192320,62,3.2112393379211426,2.5689375718796383
ours-51M,51192320,63,3.2059245109558105,2.5646857995131103
ours-51M,51192320,64,3.100809097290039,2.480595232870861
pythia-70m,70426624,1,97.140625,137.77285318540018
pythia-70m,70426624,2,75.921875,107.67867035995809
pythia-70m,70426624,3,21.1796875,30.0387811633923
pythia-70m,70426624,4,12.908203125,18.307479224350768
pythia-70m,70426624,5,7.1943359375,10.20360110801877
pythia-70m,70426624,6,6.046875,8.576177285306397
pythia-70m,70426624,7,5.8271484375,8.264542936276367
pythia-70m,70426624,8,4.7802734375,6.779778393342185
pythia-70m,70426624,9,3.927734375,5.5706371191056725
pythia-70m,70426624,10,3.78466796875,5.367728531848343
pythia-70m,70426624,11,3.234375,4.587257617722026
pythia-70m,70426624,12,2.97998046875,4.226454293622814
pythia-70m,70426624,13,2.9140625,4.132963988913806
pythia-70m,70426624,14,2.6240234375,3.7216066481941676
pythia-70m,70426624,15,2.5908203125,3.674515235451852
pythia-70m,70426624,16,2.454345703125,3.480955678665423
pythia-70m,70426624,17,2.44873046875,3.472991689745767
pythia-70m,70426624,18,2.337890625,3.3157894736795077
pythia-70m,70426624,19,2.31298828125,3.2804709141227715
pythia-70m,70426624,20,2.310791015625,3.277354570632471
pythia-70m,70426624,21,2.27490234375,3.226454293624233
pythia-70m,70426624,22,2.267333984375,3.2157202216020875
pythia-70m,70426624,23,2.2421875,3.1800554016575395
pythia-70m,70426624,24,2.201416015625,3.1222299168930787
pythia-70m,70426624,25,2.1787109375,3.0900277008266426
pythia-70m,70426624,26,2.173828125,3.08310249307042
pythia-70m,70426624,27,2.11767578125,3.0034626038738566
pythia-70m,70426624,28,2.0478515625,2.9044321329598697
pythia-70m,70426624,29,2.022705078125,2.8687673130153217
pythia-70m,70426624,30,1.99658203125,2.8317174515195296
pythia-70m,70426624,31,1.964599609375,2.78635734071627
pythia-70m,70426624,32,1.95751953125,2.7763157894697468
pythia-70m,70426624,33,1.955810546875,2.7738919667550688
pythia-70m,70426624,34,1.95361328125,2.7707756232647682
pythia-70m,70426624,35,1.947509765625,2.76211911356949
pythia-70m,70426624,36,1.93408203125,2.743074792239877
pythia-70m,70426624,37,1.92236328125,2.726454293624942
pythia-70m,70426624,38,1.8974609375,2.6911357340682054
pythia-70m,70426624,39,1.869873046875,2.652008310245546
pythia-70m,70426624,40,1.8505859375,2.624653739608466
pythia-70m,70426624,41,1.8447265625,2.6163434903009986
pythia-70m,70426624,42,1.830322265625,2.595914127420141
pythia-70m,70426624,43,1.82568359375,2.5893351800517292
pythia-70m,70426624,44,1.8212890625,2.5831024930711286
pythia-70m,70426624,45,1.82080078125,2.5824099722955065
pythia-70m,70426624,46,1.813720703125,2.5723684210489832
pythia-70m,70426624,47,1.765869140625,2.504501385037999
pythia-70m,70426624,48,1.760009765625,2.4961911357305318
pythia-70m,70426624,49,1.75830078125,2.4937673130158537
pythia-70m,70426624,50,1.752685546875,2.4858033240961976
pythia-70m,70426624,51,1.70458984375,2.4175900276974023
pythia-70m,70426624,52,1.685791015625,2.3909279778359442
pythia-70m,70426624,53,1.677734375,2.3795013850381763
pythia-70m,70426624,54,1.666015625,2.3628808864232416
pythia-70m,70426624,55,1.664794921875,2.361149584484186
pythia-70m,70426624,56,1.663818359375,2.3597645429329415
pythia-70m,70426624,57,1.64892578125,2.3386426592764615
pythia-70m,70426624,58,1.645751953125,2.334141274234917
pythia-70m,70426624,59,1.61669921875,2.2929362880853907
pythia-70m,70426624,60,1.61328125,2.2880886426560347
pythia-70m,70426624,61,1.60595703125,2.2777008310217
pythia-70m,70426624,62,1.5869140625,2.2506925207724313
pythia-70m,70426624,63,1.56591796875,2.2209141274206727
pythia-70m,70426624,64,1.565185546875,2.2198753462572394
pythia-160m,162322944,1,150.24609375,312.58819047554016
pythia-160m,162322944,2,67.080322265625,139.5611428568525
pythia-160m,162322944,3,60.494140625,125.85853968227784
pythia-160m,162322944,4,4.9630126953125,10.32558730156582
pythia-160m,162322944,5,4.20751953125,8.753777777759566
pythia-160m,162322944,6,4.192138671875,8.721777777759632
pythia-160m,162322944,7,3.77783203125,7.859809523793172
pythia-160m,162322944,8,3.65386962890625,7.601904761888947
pythia-160m,162322944,9,3.289581298828125,6.843999999985761
pythia-160m,162322944,10,3.274169921875,6.811936507922336
pythia-160m,162322944,11,3.03857421875,6.321777777764625
